Dataset,Generator,TaskType,Utility,Privacy,Fidelity,UtilityRaw,PrivacyRaw,FidelityRaw,CompositeScore,CompositeRank
Hungarian_Mahalanobis_WGAN_CTABGAN,ForestDiffusion,classification,0.613612478420689,0.5,0.5073753258679131,,,,0.5476575891286495,4.5
Hungarian_Mahalanobis_WGAN_CTABGAN,GaussianCopula,classification,0.613612478420689,0.5,0.5073753258679131,,,,0.5476575891286495,4.5
Hungarian_Mahalanobis_WGAN_CTABGAN,TVAE,classification,0.613612478420689,0.5,0.5073753258679131,,,,0.5476575891286495,4.5
Hungarian_Mahalanobis_WGAN_CTABGAN,TabDDPM,classification,0.613612478420689,0.5,0.5073753258679131,,,,0.5476575891286495,4.5
Hungarian_Mahalanobis_WGAN_CTABGAN,CTABGAN,classification,0.613612478420689,0.0,0.5073753258679131,,119.53448563666088,,0.39765758912864957,8.0
Hungarian_Mahalanobis_WGAN_TabDDPM,ForestDiffusion,classification,0.613612478420689,1.0,0.5073753258679131,,168.09974640669012,,0.6976575891286496,1.0
Hungarian_Mahalanobis_WGAN_TabDDPM,CTABGAN,classification,0.613612478420689,0.5,0.5073753258679131,,,,0.5476575891286495,4.5
Hungarian_Mahalanobis_WGAN_TabDDPM,CTGAN,classification,0.613612478420689,0.5,0.5073753258679131,,,,0.5476575891286495,4.5
Hungarian_Mahalanobis_WGAN_TabDDPM,CopulaGAN,classification,0.613612478420689,0.5,0.5073753258679131,,,,0.5476575891286495,4.5
Hungarian_Mahalanobis_WGAN_TabDDPM,GaussianCopula,classification,0.613612478420689,0.5,0.5073753258679131,,,,0.5476575891286495,4.5
Hungarian_Mahalanobis_WGAN_TabDDPM,TVAE,classification,0.613612478420689,0.5,0.5073753258679131,,,,0.5476575891286495,4.5
Hungarian_Mahalanobis_WGAN_TabDDPM,WGAN_GP,classification,0.613612478420689,0.5,0.5073753258679131,,,,0.5476575891286495,4.5
Hungarian_Mahalanobis_WGAN_TabDDPM,TabDDPM,classification,0.613612478420689,0.0,0.5073753258679131,,173.62447574043583,,0.39765758912864957,8.0
Hungarian_Matchings_All_Models,CTABGAN,classification,0.613612478420689,1.0,0.5073753258679131,,414.0,,0.6976575891286496,1.5
Hungarian_Matchings_All_Models,WGAN_GP,classification,0.613612478420689,1.0,0.5073753258679131,,414.0,,0.6976575891286496,1.5
Hungarian_Matchings_All_Models,ForestDiffusion,classification,0.613612478420689,0.8722197993894462,0.5073753258679131,,1000.0,,0.6593235289454833,3.5
Hungarian_Matchings_All_Models,TabDDPM,classification,0.613612478420689,0.8722197993894462,0.5073753258679131,,1000.0,,0.6593235289454833,3.5
Hungarian_Matchings_All_Models,CTGAN,classification,0.613612478420689,0.0,0.5073753258679131,,5000.0,,0.39765758912864957,6.5
Hungarian_Matchings_All_Models,CopulaGAN,classification,0.613612478420689,0.0,0.5073753258679131,,5000.0,,0.39765758912864957,6.5
Hungarian_Matchings_All_Models,GaussianCopula,classification,0.613612478420689,0.0,0.5073753258679131,,5000.0,,0.39765758912864957,6.5
Hungarian_Matchings_All_Models,TVAE,classification,0.613612478420689,0.0,0.5073753258679131,,5000.0,,0.39765758912864957,6.5
Hungarian_Matchings_All_Models_AD,CTABGAN,classification,0.613612478420689,0.5503515675871391,0.5073753258679131,,,,0.5627630594047912,4.5
Hungarian_Matchings_All_Models_AD,CTGAN,classification,0.613612478420689,0.5503515675871391,0.5073753258679131,,373.0,,0.5627630594047912,4.5
Hungarian_Matchings_All_Models_AD,CopulaGAN,classification,0.613612478420689,0.5503515675871391,0.5073753258679131,,373.0,,0.5627630594047912,4.5
Hungarian_Matchings_All_Models_AD,ForestDiffusion,classification,0.613612478420689,0.5503515675871391,0.5073753258679131,,,,0.5627630594047912,4.5
Hungarian_Matchings_All_Models_AD,GaussianCopula,classification,0.613612478420689,0.5503515675871391,0.5073753258679131,,373.0,,0.5627630594047912,4.5
Hungarian_Matchings_All_Models_AD,TVAE,classification,0.613612478420689,0.5503515675871391,0.5073753258679131,,373.0,,0.5627630594047912,4.5
Hungarian_Matchings_All_Models_AD,TabDDPM,classification,0.613612478420689,0.5503515675871391,0.5073753258679131,,,,0.5627630594047912,4.5
Hungarian_Matchings_All_Models_AD,WGAN_GP,classification,0.613612478420689,0.5503515675871391,0.5073753258679131,,,,0.5627630594047912,4.5
