Dataset,Generator,Mapping_Method,Metric,Available,Mean
7. CDC diabetes dataset,TabDDPM,Greedy,Mahalanobis Distance,0,
7. CDC diabetes dataset,TabDDPM,One-to-One Greedy,Cosine Similarity,0,
7. CDC diabetes dataset,TabDDPM,One-to-One Greedy,Mahalanobis Distance,1,8.5135
7. CDC diabetes dataset,TabDDPM,Hungarian,Cosine Similarity,1,0.946035
7. CDC diabetes dataset,TabDDPM,Hungarian,Mahalanobis Distance,0,
7. CDC diabetes dataset,ForestDiffusion,Greedy,Cosine Similarity,0,
7. CDC diabetes dataset,ForestDiffusion,Greedy,Mahalanobis Distance,0,
7. CDC diabetes dataset,ForestDiffusion,One-to-One Greedy,Cosine Similarity,0,
7. CDC diabetes dataset,ForestDiffusion,One-to-One Greedy,Mahalanobis Distance,1,2.7934
7. CDC diabetes dataset,ForestDiffusion,Hungarian,Cosine Similarity,1,0.995394
7. CDC diabetes dataset,ForestDiffusion,Hungarian,Mahalanobis Distance,0,
8. Mushroom dataset,CTGAN,Greedy,Cosine Similarity,0,
8. Mushroom dataset,CTGAN,Greedy,Mahalanobis Distance,0,
8. Mushroom dataset,CTGAN,One-to-One Greedy,Cosine Similarity,0,
8. Mushroom dataset,CTGAN,One-to-One Greedy,Mahalanobis Distance,0,
8. Mushroom dataset,CTGAN,Hungarian,Cosine Similarity,1,0.9887827505945156
8. Mushroom dataset,CTGAN,Hungarian,Mahalanobis Distance,1,0.4861690905004704
8. Mushroom dataset,CopulaGAN,Greedy,Cosine Similarity,0,
8. Mushroom dataset,CopulaGAN,Greedy,Mahalanobis Distance,0,
8. Mushroom dataset,CopulaGAN,One-to-One Greedy,Cosine Similarity,0,
8. Mushroom dataset,CopulaGAN,One-to-One Greedy,Mahalanobis Distance,0,
8. Mushroom dataset,CopulaGAN,Hungarian,Cosine Similarity,1,0.989882442334801
8. Mushroom dataset,CopulaGAN,Hungarian,Mahalanobis Distance,1,0.5394674015084815
8. Mushroom dataset,TVAE,Greedy,Cosine Similarity,0,
8. Mushroom dataset,TVAE,Greedy,Mahalanobis Distance,0,
8. Mushroom dataset,TVAE,One-to-One Greedy,Cosine Similarity,0,
8. Mushroom dataset,TVAE,One-to-One Greedy,Mahalanobis Distance,0,
8. Mushroom dataset,TVAE,Hungarian,Cosine Similarity,1,0.9835869904792532
8. Mushroom dataset,TVAE,Hungarian,Mahalanobis Distance,1,0.4330184728020023
8. Mushroom dataset,GaussianCopula,Greedy,Cosine Similarity,0,
8. Mushroom dataset,GaussianCopula,Greedy,Mahalanobis Distance,0,
8. Mushroom dataset,GaussianCopula,One-to-One Greedy,Cosine Similarity,0,
8. Mushroom dataset,GaussianCopula,One-to-One Greedy,Mahalanobis Distance,0,
