Dataset,Dataset_Short,Generator,Num_Matches,Source_File,Mapping_Method,Metric,Mean,Source_Note,Median,Min,Max,Std
11. online shopping,OnlineShop,CTGAN,,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9999978326412216,curated_mapping_cost_comparison,,,,
11. online shopping,OnlineShop,CopulaGAN,,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9999985902043173,curated_mapping_cost_comparison,,,,
11. online shopping,OnlineShop,TVAE,,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9999769900404132,curated_mapping_cost_comparison,,,,
10. Metro interstate,Metro,GaussianCopula,5000.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.992558973006293,curated_mapping_cost_comparison,,,,
12. Air Quality,AirQuality,CTGAN,1000.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9740564407359084,curated_mapping_cost_comparison,,,,
10. Metro interstate,Metro,ForestDiffusion,1000.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9962714485893248,curated_mapping_cost_comparison,,,,
12. Air Quality,AirQuality,CopulaGAN,1000.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9658485018218728,curated_mapping_cost_comparison,,,,
8. Mushroom dataset,Mushroom,CopulaGAN,10000.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.989882442334801,curated_mapping_cost_comparison,,,,
10. Metro interstate,Metro,TVAE,5000.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9957562261949416,curated_mapping_cost_comparison,,,,
8. Mushroom dataset,Mushroom,TVAE,10000.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9835869904792532,curated_mapping_cost_comparison,,,,
10. Metro interstate,Metro,WGAN_GP,1000.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9897666683510477,curated_mapping_cost_comparison,,,,
10. Metro interstate,Metro,CTGAN,5000.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9998118622548122,curated_mapping_cost_comparison,,,,
7. CDC diabetes dataset,CDC_Diabetes,CopulaGAN,5000.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9945577524214452,curated_mapping_cost_comparison,,,,
7. CDC diabetes dataset,CDC_Diabetes,GaussianCopula,5000.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9971737677781224,curated_mapping_cost_comparison,,,,
7. CDC diabetes dataset,CDC_Diabetes,TVAE,5000.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9983234912644736,curated_mapping_cost_comparison,,,,
10. Metro interstate,Metro,CTABGAN,1000.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9930134503165852,curated_mapping_cost_comparison,,,,
8. Mushroom dataset,Mushroom,CTGAN,10000.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9887827505945156,curated_mapping_cost_comparison,,,,
10. Metro interstate,Metro,CopulaGAN,5000.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9999827423012392,curated_mapping_cost_comparison,,,,
8. Mushroom dataset,Mushroom,GaussianCopula,10000.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9944284213885014,curated_mapping_cost_comparison,,,,
12. Air Quality,AirQuality,GaussianCopula,1000.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9978391067700032,curated_mapping_cost_comparison,,,,
7. CDC diabetes dataset,CDC_Diabetes,CTGAN,5000.0,Agreed analysis/mapping_cost_comparison.csv,Hungarian,Cosine Similarity,0.9851661008568016,curated_mapping_cost_comparison,,,,
15. Real Estate Valuation,RealEstate,CTGAN,414.0,Agreed analysis/mapping_cost_comparison.csv,Pairwise (no assignment),Cosine Similarity,-0.050747,pairwise_mean_all_pairs_NOT_a_mapping_method,,,,
1. Cancer,Cancer,TVAE,569.0,Agreed analysis/mapping_cost_comparison.csv,Pairwise (no assignment),Cosine Similarity,0.043196,pairwise_mean_all_pairs_NOT_a_mapping_method,,,,
4. Forest cover dataset,ForestCover,CopulaGAN,1000.0,Agreed analysis/mapping_cost_comparison.csv,Pairwise (no assignment),Cosine Similarity,0.004608,pairwise_mean_all_pairs_NOT_a_mapping_method,,,,
9. MAGIC Gamma Telescope,MAGIC,TVAE,19020.0,Agreed analysis/mapping_cost_comparison.csv,Pairwise (no assignment),Cosine Similarity,0.033048,pairwise_mean_all_pairs_NOT_a_mapping_method,,,,
1. Cancer,Cancer,ForestDiffusion,569.0,Agreed analysis/mapping_cost_comparison.csv,Pairwise (no assignment),Cosine Similarity,0.020406,pairwise_mean_all_pairs_NOT_a_mapping_method,,,,
13. Concrete Compressive Strength,Concrete,ForestDiffusion,1000.0,Agreed analysis/mapping_cost_comparison.csv,Pairwise (no assignment),Cosine Similarity,0.003079,pairwise_mean_all_pairs_NOT_a_mapping_method,,,,
15. Real Estate Valuation,RealEstate,CopulaGAN,414.0,Agreed analysis/mapping_cost_comparison.csv,Pairwise (no assignment),Cosine Similarity,-0.050764,pairwise_mean_all_pairs_NOT_a_mapping_method,,,,
14. Energy Efficiency,Energy,CTABGAN,768.0,Agreed analysis/mapping_cost_comparison.csv,Pairwise (no assignment),Cosine Similarity,-0.003831,pairwise_mean_all_pairs_NOT_a_mapping_method,,,,
1. Cancer,Cancer,TabDDPM,569.0,Agreed analysis/mapping_cost_comparison.csv,Pairwise (no assignment),Cosine Similarity,-0.05887,pairwise_mean_all_pairs_NOT_a_mapping_method,,,,
