dataset,dataset_id,problem_type,generator,seed,batch,batch_label,metric_category,metric_name,metric_value,split_seed,n_synthetic_samples,n_train,n_test,training_time_seconds,generation_time_seconds,evaluation_time_seconds,total_time_seconds,task
Cancer,cancer,classification,CTABGAN,42,1st_batch,1st batch,Utility,Recall_TRTR,0.958187134502924,42,1000,455,114,41.89573233295232,0,7.194641651818529,49.1010600537993,classification
Cancer,cancer,classification,CTABGAN,42,1st_batch,1st batch,Utility,Recall_TSTR,0.8842105263157892,42,1000,455,114,41.89573233295232,0,7.194641651818529,49.1010600537993,classification
Cancer,cancer,classification,CTABGAN,42,1st_batch,1st batch,Utility,Recall_Gap,0.0739766081871347,42,1000,455,114,41.89573233295232,0,7.194641651818529,49.1010600537993,classification
Cancer,cancer,classification,CTABGAN,42,1st_batch,1st batch,Utility,ROC_AUC_TRTR,0.9709325396825398,42,1000,455,114,41.89573233295232,0,7.194641651818529,49.1010600537993,classification
Cancer,cancer,classification,CTABGAN,42,1st_batch,1st batch,Utility,ROC_AUC_TSTR,0.9227843915343914,42,1000,455,114,41.89573233295232,0,7.194641651818529,49.1010600537993,classification
Cancer,cancer,classification,CTABGAN,42,1st_batch,1st batch,Utility,ROC_AUC_Gap,0.0481481481481483,42,1000,455,114,41.89573233295232,0,7.194641651818529,49.1010600537993,classification
Cancer,cancer,classification,CTABGAN,42,1st_batch,1st batch,Privacy,Mahalanobis_Distance,78.99667591083345,42,1000,455,114,41.89573233295232,0,7.194641651818529,49.1010600537993,classification
Cancer,cancer,classification,CTABGAN,42,1st_batch,1st batch,Privacy,Mean_Distance,78.99667591083345,42,1000,455,114,41.89573233295232,0,7.194641651818529,49.1010600537993,classification
Cancer,cancer,classification,CTABGAN,42,1st_batch,1st batch,Privacy,Median_Distance,70.0606031569054,42,1000,455,114,41.89573233295232,0,7.194641651818529,49.1010600537993,classification
Cancer,cancer,classification,CTABGAN,42,1st_batch,1st batch,Privacy,NNDR,0.9665800852448042,42,1000,455,114,41.89573233295232,0,7.194641651818529,49.1010600537993,classification
Cancer,cancer,classification,CTABGAN,42,1st_batch,1st batch,Privacy,MIA_AUC,0.8644444444444445,42,1000,455,114,41.89573233295232,0,7.194641651818529,49.1010600537993,classification
Cancer,cancer,classification,CTABGAN,42,1st_batch,1st batch,Compute,training_time_seconds,41.89573233295232,42,1000,455,114,41.89573233295232,0,7.194641651818529,49.1010600537993,classification
Cancer,cancer,classification,CTABGAN,42,1st_batch,1st batch,Compute,generation_time_seconds,0.0,42,1000,455,114,41.89573233295232,0,7.194641651818529,49.1010600537993,classification
Cancer,cancer,classification,CTABGAN,42,1st_batch,1st batch,Compute,evaluation_time_seconds,7.194641651818529,42,1000,455,114,41.89573233295232,0,7.194641651818529,49.1010600537993,classification
Cancer,cancer,classification,CTABGAN,42,1st_batch,1st batch,Compute,total_time_seconds,49.1010600537993,42,1000,455,114,41.89573233295232,0,7.194641651818529,49.1010600537993,classification
Cancer,cancer,classification,WGAN_GP,42,1st_batch,1st batch,Fidelity,Quality_Score,0.8765201100650197,42,1000,455,114,12.78622391098179,0,6.515060761012137,19.31177953793668,classification
Cancer,cancer,classification,WGAN_GP,42,1st_batch,1st batch,Fidelity,KS_Complement,0.8610923076923077,42,1000,455,114,12.78622391098179,0,6.515060761012137,19.31177953793668,classification
Cancer,cancer,classification,WGAN_GP,42,1st_batch,1st batch,Fidelity,Wasserstein_Distance,12.39527432852784,42,1000,455,114,12.78622391098179,0,6.515060761012137,19.31177953793668,classification
Cancer,cancer,classification,WGAN_GP,42,1st_batch,1st batch,Fidelity,MMD,0.0277064381526815,42,1000,455,114,12.78622391098179,0,6.515060761012137,19.31177953793668,classification
Cancer,cancer,classification,WGAN_GP,42,1st_batch,1st batch,Utility,Accuracy_TRTR,0.958187134502924,42,1000,455,114,12.78622391098179,0,6.515060761012137,19.31177953793668,classification
Cancer,cancer,classification,WGAN_GP,42,1st_batch,1st batch,Utility,Accuracy_TSTR,0.8830409356725146,42,1000,455,114,12.78622391098179,0,6.515060761012137,19.31177953793668,classification
Cancer,cancer,classification,WGAN_GP,42,1st_batch,1st batch,Utility,Accuracy_Gap,0.0751461988304093,42,1000,455,114,12.78622391098179,0,6.515060761012137,19.31177953793668,classification
Cancer,cancer,classification,WGAN_GP,42,1st_batch,1st batch,Utility,F1_TRTR,0.9579899186677384,42,1000,455,114,12.78622391098179,0,6.515060761012137,19.31177953793668,classification
